,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
16,GAM,6,2,0.333333333333333,1,0,0,2,1,0.5,3,1,0.333333333333333,0,0,,9,3,0.333333333333333
17,Grupo Ecoener,10,3,0.3,2,0,0,3,1,0.333333333333333,5,2,0.4,0,0,,6,0,0
18,Grupo San Jose,11,2,0.181818181818182,4,0,0,1,0,0,3,1,0.333333333333333,3,1,0.333333333333333,9,0,0
19,Grupo Ezentis,7,4,0.571428571428571,0,0,,3,2,0.666666666666667,4,2,0.5,0,0,,5,0,0
20,Iberpapel,9,2,0.222222222222222,2,0,0,1,0,0,3,1,0.333333333333333,3,1,0.333333333333333,7,0,0
21,Inmobiliaria Del Sur,15,2,0.133333333333333,1,0,0,11,1,0.0909090909090909,3,1,0.333333333333333,0,0,,1,0,0
22,Laboratorio Reig Jofre,8,2,0.25,1,0,0,3,1,0.333333333333333,4,1,0.25,0,0,,4,1,0.25
23,Lar España,7,2,0.285714285714286,0,0,,2,0,0,5,2,0.4,0,0,,4,1,0.25
24,Libertas 7,8,4,0.5,1,1,1,3,1,0.333333333333333,3,2,0.666666666666667,1,0,0,4,1,0.25
25,Lingotes Especiales,9,3,0.333333333333333,3,0,0,1,1,1,2,1,0.5,3,1,0.333333333333333,10,1,0.1
26,Liwe Española,8,1,0.125,4,0,0,1,1,1,3,0,0,0,0,,0,0,
27,Minersa,8,2,0.25,1,0,0,5,1,0.2,2,1,0.5,0,0,,0,0,
28,Montebalito,7,1,0.142857142857143,2,1,0.5,1,0,0,4,0,0,0,0,,0,0,
29,Naturhouse Health,7,1,0.142857142857143,3,1,0.333333333333333,1,0,0,3,0,0,0,0,,6,0,0
30,Nicolas Correa,7,3,0.428571428571429,1,1,1,2,1,0.5,2,0,0,2,1,0.5,13,3,0.230769230769231
31,Nextil,7,0,0,2,0,0,3,0,0,2,0,0,0,0,,0,0,
32,Nyesa Valores Corporacion,5,0,0,2,0,0,0,0,,3,0,0,0,0,,0,0,
33,Oryzon Genomics,7,2,0.285714285714286,1,0,0,2,1,0.5,4,1,0.25,0,0,,8,2,0.25
34,Pescanova,4,0,0,0,0,,0,0,,4,0,0,0,0,,0,0,
35,Prim,9,4,0.444444444444444,0,0,,6,3,0.5,3,1,0.333333333333333,0,0,,14,4,0.285714285714286
36,Grupo Prisa,14,5,0.357142857142857,2,0,0,6,1,0.166666666666667,6,4,0.666666666666667,0,0,,4,1,0.25
37,Renta 4 Banco,12,4,0.333333333333333,4,0,0,2,0,0,5,4,0.8,1,0,0,1,0,0
38,Renta Corporacion,10,3,0.3,2,0,0,4,1,0.25,3,1,0.333333333333333,1,1,1,1,0,0
39,Saint Croix Holding Immobilier,5,2,0.4,1,0,0,2,1,0.5,2,1,0.5,0,0,,0,0,
40,Squirrel Media,7,2,0.285714285714286,1,0,0,2,1,0.5,4,1,0.25,0,0,,0,0,
41,Tecnicas Reunidas,14,2,0.142857142857143,1,0,0,1,0,0,7,2,0.285714285714286,5,0,0,10,1,0.1
42,Tr Hotel Jardin Del Mar,5,2,0.4,1,0,0,2,0,0,2,2,1,0,0,,0,0,
43,Tubacex,11,3,0.272727272727273,1,0,0,2,2,1,8,1,0.125,0,0,,10,0,0
44,Tubos Reunidos,11,4,0.363636363636364,1,0,0,5,1,0.2,4,3,0.75,1,0,0,12,2,0.166666666666667
45,Uncavasa,7,1,0.142857142857143,1,0,0,4,1,0.25,2,0,0,0,0,,1,0,0
46,Urbar Ingenieros,5,0,0,2,0,0,1,0,0,2,0,0,0,0,,1,0,0
47,Vocento,11,3,0.272727272727273,1,0,0,6,0,0,4,3,0.75,0,0,,10,1,0.1
