,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
27,Libertas 7,8,3,0.375,1,1,1,3,1,0.333333333333333,3,1,0.333333333333333,1,0,0,4,1,0.25
28,Lingotes Especiales,8,2,0.25,3,0,0,1,1,1,2,0,0,2,1,0.5,9,1,0.111111111111111
29,Liwe Española,6,0,0,3,0,0,1,0,0,2,0,0,0,0,,0,0,
30,Minersa,8,2,0.25,1,0,0,5,1,0.2,2,1,0.5,0,0,,0,0,
31,Miguel y Costas,10,2,0.2,3,0,0,2,1,0.5,3,1,0.333333333333333,2,0,0,6,1,0.166666666666667
32,Mobiliaria Monesa,7,0,0,0,0,,5,0,0,2,0,0,0,0,,0,0,
33,Montebalito,5,1,0.2,1,0,0,2,1,0.5,2,0,0,0,0,,0,0,
34,Naturhouse Health,7,1,0.142857142857143,3,1,0.333333333333333,1,0,0,3,0,0,0,0,,8,0,0
35,Nicolas Correa,7,3,0.428571428571429,1,1,1,2,1,0.5,2,0,0,2,1,0.5,0,0,
36,Nextil,7,0,0,2,0,0,3,0,0,2,0,0,0,0,,0,0,
37,Nyesa Valores Corporacion,6,1,0.166666666666667,2,0,0,1,0,0,3,1,0.333333333333333,0,0,,0,0,
38,OHLA,10,3,0.3,1,0,0,4,1,0.25,4,2,0.5,1,0,0,11,0,0
39,Oryzon Genomics,7,2,0.285714285714286,1,0,0,2,1,0.5,4,1,0.25,0,0,,9,2,0.222222222222222
40,Pescanova,4,0,0,0,0,,0,0,,4,0,0,0,0,,0,0,
41,Prim,9,4,0.444444444444444,0,0,,6,3,0.5,3,1,0.333333333333333,0,0,,7,2,0.285714285714286
42,Quabit Inmobiliaria,6,2,0.333333333333333,2,0,0,0,0,,2,1,0.5,2,1,0.5,3,0,0
43,Renta 4 Banco,12,3,0.25,4,0,0,2,0,0,4,3,0.75,2,0,0,1,0,0
44,Renta Corporacion,9,3,0.333333333333333,2,0,0,3,1,0.333333333333333,3,1,0.333333333333333,1,1,1,1,0,0
45,Saint Croix Holding Immobilier,5,2,0.4,1,0,0,2,1,0.5,2,1,0.5,0,0,,0,0,
46,TRH Jardin Del Mar,5,2,0.4,1,0,0,2,0,0,2,2,1,0,0,,0,0,
47,Tubacex,12,4,0.333333333333333,1,0,0,2,2,1,8,2,0.25,1,0,0,11,0,0
48,Tubos Reunidos,10,2,0.2,1,0,0,5,1,0.2,3,1,0.333333333333333,1,0,0,10,2,0.2
49,Uncavasa,7,1,0.142857142857143,1,0,0,4,1,0.25,2,0,0,0,0,,1,0,0
50,Urbar Ingenieros,4,0,0,1,0,0,1,0,0,2,0,0,0,0,,3,0,0
51,Vértice Trescientos Sesenta Grados,7,2,0.285714285714286,1,0,0,2,1,0.5,4,1,0.25,0,0,,0,0,
52,Vocento,11,3,0.272727272727273,1,0,0,6,0,0,4,3,0.75,0,0,,9,1,0.111111111111111
