,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of women executive board members,% women over total executive board members,Total numberof proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members ,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,% women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
27,Iberpapel,8,1,0.125,1,0,0,1,0,0,6,1,0.166666666666667,0,0,0,8,0,0
28,Inmobiliaria Del Sur,15,0,0,1,0,0,11,0,0,3,0,0,0,0,0,1,0,0
29,Inypsa Informes Y Proyectos,7,2,0.285714285714286,0,0,0,3,1,0.333333333333333,2,1,0.5,2,0,0,4,0,0
30,Laboratorio Reig Jofre,8,2,0.25,2,0,0,1,1,1,5,1,0.2,0,0,0,4,1,0.25
31,Libertas 7,7,2,0.285714285714286,1,1,1,3,1,0.333333333333333,3,0,0,0,0,0,4,1,0.25
32,Lingotes Especiales,9,1,0.111111111111111,3,0,0,1,0,0,2,1,0.5,3,0,0,9,1,0.111111111111111
33,Liwe Española,6,0,0,3,0,0,1,0,0,2,0,0,0,0,0,2,0,0
34,Minersa,8,2,0.25,1,0,0,5,1,0.2,2,1,0.5,0,0,0,0,0,0
35,Mobiliaria Monesa,8,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0
36,Montebalito,6,1,0.166666666666667,1,0,0,2,1,0.5,2,0,0,1,0,0,0,0,0
37,Natra,7,2,0.285714285714286,0,0,0,1,0,0,4,2,0.5,2,0,0,5,0,0
38,Naturhouse Health,7,1,0.142857142857143,3,1,0.333333333333333,1,0,0,3,0,0,0,0,0,8,0,0
39,Nicolas Correa,8,3,0.375,2,1,0.5,2,1,0.5,2,0,0,2,1,0.5,0,0,0
40,Nextil,5,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0
41,Nyesa Valores Corporacion,7,1,0.142857142857143,2,0,0,1,0,0,4,1,0.25,0,0,0,0,0,0
42,Oryzon Genomics,9,2,0.222222222222222,2,1,0.5,4,0,0,3,1,0.333333333333333,0,0,0,0,0,0
43,Pescanova,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
44,Prim,6,1,0.166666666666667,2,0,0,0,0,0,3,1,0.333333333333333,1,0,0,2,1,0.5
45,Grupo Prisa,14,1,0.0714285714285714,3,0,0,4,0,0,6,1,0.166666666666667,1,0,0,8,2,0.25
46,Quabit Inmobiliaria,4,1,0.25,1,0,0,1,0,0,2,1,0.5,0,0,0,7,2,0.285714285714286
47,Renta 4 Banco,14,2,0.142857142857143,4,0,0,3,0,0,5,2,0.4,2,0,0,1,0,0
48,Renta Corporacion,8,2,0.25,2,0,0,2,0,0,3,1,0.333333333333333,1,1,1,1,0,0
49,Saint Croix Holding Immobilier,6,2,0.333333333333333,1,0,0,2,1,0.5,2,1,0.5,1,0,0,0,0,0
50,Service Point,5,1,0.2,1,0,0,0,0,0,3,0,0,1,1,1,1,0,0
51,Sniace,7,1,0.142857142857143,1,0,0,1,0,0,3,1,0.333333333333333,2,0,0,3,0,0
52,Solaria,5,0,0,2,0,0,1,0,0,2,0,0,0,0,0,4,0,0
53,Telepizza Group,8,0,0,1,0,0,2,0,0,4,0,0,1,0,0,9,2,0.222222222222222
54,TRH Jardin Del Mar,5,2,0.4,1,0,0,2,0,0,2,2,1,0,0,0,0,0,0
55,Tubacex,11,2,0.181818181818182,1,0,0,1,0,0,7,2,0.285714285714286,2,0,0,12,0,0
56,Tubos Reunidos,10,2,0.2,1,0,0,6,1,0.166666666666667,3,1,0.333333333333333,0,0,0,10,2,0.2
57,Uncavasa,7,1,0.142857142857143,1,0,0,4,1,0.25,2,0,0,0,0,0,0,0,0
58,Urbar Ingenieros,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0
59,Urbas Grupo Financiero,5,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,1,0.333333333333333
60,Vertice Trescientos Sesenta Grados,5,1,0.2,1,0,0,1,0,0,3,1,0.333333333333333,0,0,0,0,0,0
61,Vocento,12,1,0.0833333333333333,1,0,0,6,1,0.166666666666667,5,0,0,0,0,0,9,2,0.222222222222222
