,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
25,Laboratorio reig jofre,8,2,0.25,1,0,0,3,1,0.333333333333333,4,1,0.25,0,0,,4,1,0.25
26,Lar españa real estate socimi,7,2,0.285714285714286,0,0,,2,0,0,5,2,0.4,0,0,,4,1,0.25
27,Libertas 7,8,4,0.5,1,1,1,3,1,0.333333333333333,3,2,0.666666666666667,1,0,0,4,1,0.25
28,Lingotes especiales,9,3,0.333333333333333,3,0,0,1,1,1,2,1,0.5,3,1,0.333333333333333,10,1,0.1
29,Liwe española,8,1,0.125,4,0,0,1,1,1,3,0,0,0,0,,0,0,
30,Minerales y productos derivados,8,2,0.25,1,0,0,5,1,0.2,2,1,0.5,0,0,,0,0,
31,Montebalito,7,1,0.142857142857143,2,1,0.5,1,0,0,4,0,0,0,0,,0,0,
32,Naturhouse health,7,1,0.142857142857143,3,1,0.333333333333333,1,0,0,3,0,0,0,0,,6,0,0
33,Nicolas correa,7,3,0.428571428571429,1,1,1,2,1,0.5,2,0,0,2,1,0.5,13,3,0.230769230769231
34,Nueva expresión textil,7,0,0,2,0,0,3,0,0,2,0,0,0,0,,0,0,
35,Nyesa valores corporacion,5,0,0,2,0,0,0,0,,3,0,0,0,0,,0,0,
36,Oryzon genomics,7,2,0.285714285714286,1,0,0,2,1,0.5,4,1,0.25,0,0,,8,2,0.25
37,Pescanova,4,0,0,0,0,,0,0,,4,0,0,0,0,,0,0,
38,Prim,9,4,0.444444444444444,0,0,,6,3,0.5,3,1,0.333333333333333,0,0,,14,4,0.285714285714286
39,Promotora de informaciones,14,5,0.357142857142857,2,0,0,6,1,0.166666666666667,6,4,0.666666666666667,0,0,,4,1,0.25
40,Renta 4 banco,12,4,0.333333333333333,4,0,0,2,0,0,5,4,0.8,1,0,0,1,0,0
41,Renta corporacion real estate,10,3,0.3,2,0,0,4,1,0.25,3,1,0.333333333333333,1,1,1,1,0,0
42,Saint croix holding immobilier,5,2,0.4,1,0,0,2,1,0.5,2,1,0.5,0,0,,0,0,
43,Squirrel media,7,2,0.285714285714286,1,0,0,2,1,0.5,4,1,0.25,0,0,,0,0,
44,Tecnicas reunidas,14,2,0.142857142857143,1,0,0,1,0,0,7,2,0.285714285714286,5,0,0,10,1,0.1
45,Tr hotel jardin del mar,5,2,0.4,1,0,0,2,0,0,2,2,1,0,0,,0,0,
46,Tubacex,11,3,0.272727272727273,1,0,0,2,2,1,8,1,0.125,0,0,,10,0,0
47,Tubos reunidos,11,4,0.363636363636364,1,0,0,5,1,0.2,4,3,0.75,1,0,0,12,2,0.166666666666667
48,Union catalana de valores,7,1,0.142857142857143,1,0,0,4,1,0.25,2,0,0,0,0,,1,0,0
49,Urbar ingenieros,5,0,0,2,0,0,1,0,0,2,0,0,0,0,,1,0,0
50,Vocento,11,3,0.272727272727273,1,0,0,6,0,0,4,3,0.75,0,0,,10,1,0.1
